,59_SVM,59_LR,MEAN,MEDIAN
210880_s_at,-0.3898819500622036,-0.5694391919008928,-0.4796605709815482,-0.4796605709815482
213480_at,-0.3892473814711957,-0.5668760273898337,-0.47806170443051466,-0.47806170443051466
201371_s_at,-0.3771027606289118,-0.577987857271319,-0.4775453089501154,-0.4775453089501154
212789_at,-0.3602480893848185,-0.5941183995423494,-0.47718324446358396,-0.47718324446358396
201894_s_at,-0.4324727270269353,-0.5189955332446324,-0.47573413013578386,-0.47573413013578386
218513_at,-0.39350977868135767,-0.5577239453170932,-0.4756168619992255,-0.4756168619992255
210325_at,-0.3924309230919645,-0.5584574552055109,-0.4754441891487377,-0.4754441891487377
202961_s_at,-0.40790469299129734,-0.5417681296935634,-0.4748364113424304,-0.4748364113424304
217919_s_at,-0.4003315332636669,-0.548043659247996,-0.47418759625583146,-0.47418759625583146
207986_x_at,-0.3536584213170104,-0.5917725485696796,-0.47271548494334503,-0.47271548494334503
212181_s_at,-0.42948391633314975,-0.5128018786313846,-0.4711428974822672,-0.4711428974822672
215286_s_at,-0.4320081030275627,-0.5090247688122287,-0.47051643591989567,-0.47051643591989567
200906_s_at,-0.4192690843325845,-0.5213998975763772,-0.4703344909544808,-0.4703344909544808
209445_x_at,-0.33195446902773396,-0.6039016714248753,-0.4679280702263046,-0.4679280702263046
218135_at,-0.4032245088818146,-0.532039768053614,-0.4676321384677143,-0.4676321384677143
211215_x_at,-0.35666052786648644,-0.5756208625662427,-0.4661406952163646,-0.4661406952163646
207920_x_at,-0.3317835890636908,-0.6000033199128868,-0.4658934544882888,-0.4658934544882888
200889_s_at,-0.3664029609467583,-0.5607505530893753,-0.4635767570180668,-0.4635767570180668
209397_at,-0.3993832677594606,-0.5277311292048684,-0.4635571984821645,-0.4635571984821645
215711_s_at,-0.32252198302676127,-0.6037934123015961,-0.4631576976641787,-0.4631576976641787
206860_s_at,-0.3978333727634459,-0.5279220431447317,-0.4628777079540888,-0.4628777079540888
209585_s_at,-0.3598837479772989,-0.565397166256248,-0.4626404571167735,-0.4626404571167735
218145_at,-0.44190024253974286,-0.48174227189499147,-0.46182125721736716,-0.46182125721736716
219177_at,-0.38927036126994674,-0.5281432555272215,-0.45870680839858413,-0.45870680839858413
214370_at,-0.3870979946238223,-0.5295555815933742,-0.4583267881085983,-0.4583267881085983
209014_at,-0.40857896582264225,-0.507996716536998,-0.45828784117982013,-0.45828784117982013
209082_s_at,-0.3605779775315435,-0.5551612902016512,-0.45786963386659735,-0.45786963386659735
212961_x_at,-0.34622862270157706,-0.5690998738520622,-0.4576642482768196,-0.4576642482768196
207956_x_at,-0.42498970919473,-0.48909270150345446,-0.4570412053490922,-0.4570412053490922
214487_s_at,-0.41095220690793116,-0.4995992454296502,-0.45527572616879064,-0.45527572616879064
205733_at,-0.3954334495942676,-0.5128724361972659,-0.45415294289576674,-0.45415294289576674
216525_x_at,-0.3659131286955508,-0.5400620200592401,-0.45298757437739545,-0.45298757437739545
212988_x_at,-0.3992329397942747,-0.505290578751388,-0.4522617592728314,-0.4522617592728314
208844_at,-0.28246528287445316,-0.6205677932983447,-0.4515165380863989,-0.4515165380863989
212754_s_at,-0.4063597218762373,-0.4953863755183832,-0.45087304869731026,-0.45087304869731026
219554_at,-0.3443165534172764,-0.5518340106550443,-0.44807528203616037,-0.44807528203616037
222262_s_at,-0.4083817568299728,-0.4847282395029523,-0.44655499816646255,-0.44655499816646255
205070_at,-0.28631912492747713,-0.6060116163546734,-0.44616537064107525,-0.44616537064107525
204176_at,-0.337112669311251,-0.5545416585792073,-0.44582716394522914,-0.44582716394522914
204400_at,-0.40290065396614283,-0.48798646354811315,-0.445443558757128,-0.445443558757128
208926_at,-0.3434007291438208,-0.5383902193109822,-0.4408954742274015,-0.4408954742274015
213933_at,-0.3703326814018075,-0.5090413865105441,-0.4396870339561758,-0.4396870339561758
208464_at,-0.38117799251870205,-0.4972844860683421,-0.43923123929352204,-0.43923123929352204
218655_s_at,-0.40279993599627467,-0.4755834170876003,-0.43919167654193747,-0.43919167654193747
202779_s_at,-0.3190865902895445,-0.5591541759882873,-0.4391203831389159,-0.4391203831389159
205406_s_at,-0.3840848150693638,-0.4890515396846976,-0.4365681773770307,-0.4365681773770307
216108_at,-0.3749775209916012,-0.49777550649305496,-0.4363765137423281,-0.4363765137423281
209426_s_at,-0.38043094238528624,-0.4913731719293643,-0.4359020571573253,-0.4359020571573253
211921_x_at,-0.34188466124810085,-0.524188352542578,-0.43303650689533946,-0.43303650689533946
203584_at,-0.34245266041987477,-0.5218339021805078,-0.4321432813001913,-0.4321432813001913
222346_at,-0.3634040327038156,-0.5000370258241819,-0.43172052926399873,-0.43172052926399873
212264_s_at,-0.36746559186088357,-0.49514689667605966,-0.43130624426847164,-0.43130624426847164
218313_s_at,-0.3260315537249861,-0.536250513295934,-0.43114103351046007,-0.43114103351046007
203884_s_at,-0.3790458369264403,-0.4827470615160318,-0.43089644922123604,-0.43089644922123604
202164_s_at,-0.3099579897915868,-0.5500441334079146,-0.4300010615997507,-0.4300010615997507
210935_s_at,-0.3052346351196712,-0.5512711439246076,-0.4282528895221394,-0.4282528895221394
219940_s_at,-0.37262359266154516,-0.4833872786952101,-0.4280054356783776,-0.4280054356783776
205080_at,-0.3755166239348928,-0.4778064169599195,-0.42666152044740613,-0.42666152044740613
202400_s_at,-0.30117516219593005,-0.5493442507479153,-0.4252597064719227,-0.4252597064719227
209166_s_at,-0.26445854382342526,-0.5848878428262954,-0.4246731933248603,-0.4246731933248603
203079_s_at,-0.3387707676908163,-0.5105297434073872,-0.42465025554910174,-0.42465025554910174
202189_x_at,-0.3445566096482326,-0.5021647534090579,-0.42336068152864526,-0.42336068152864526
201356_at,-0.3872876586732957,-0.4584972787511862,-0.42289246871224095,-0.42289246871224095
221222_s_at,-0.3212939481454676,-0.5173990845661556,-0.41934651635581155,-0.41934651635581155
203024_s_at,-0.3465920508551462,-0.4920660889225757,-0.419329069888861,-0.419329069888861
200669_s_at,-0.4418546766062665,-0.3936519944964998,-0.41775333555138316,-0.41775333555138316
219220_x_at,-0.24964361073910363,-0.58386883708544,-0.41675622391227185,-0.41675622391227185
203067_at,-0.35943545648296515,-0.47333747088252653,-0.41638646368274584,-0.41638646368274584
200774_at,-0.3824431257386558,-0.4444023356104046,-0.41342273067453017,-0.41342273067453017
218007_s_at,-0.3397449144686168,-0.4863406451769393,-0.41304277982277804,-0.41304277982277804
209777_s_at,-0.3440019112184766,-0.4794201351659831,-0.41171102319222985,-0.41171102319222985
213378_s_at,-0.37962462384015333,-0.44285148420363396,-0.4112380540218936,-0.4112380540218936
207606_s_at,-0.254668848739533,-0.5649365191611967,-0.40980268395036484,-0.40980268395036484
201878_at,-0.44862449188572817,-0.36392977702894763,-0.40627713445733793,-0.40627713445733793
204969_s_at,-0.32443831528793027,-0.48773904541045005,-0.40608868034919016,-0.40608868034919016
219568_x_at,-0.3035312519830799,-0.5082762975345562,-0.405903774758818,-0.405903774758818
201223_s_at,-0.3509003106711822,-0.4606644994006425,-0.40578240503591234,-0.40578240503591234
