,ID,pred,method,target,run
213,GSM207948,0.10251328349113464,XGB,Genotype: primary tumor,0
214,GSM207948,0.4276701360096042,NaiveBayes,Genotype: primary tumor,0
215,GSM207948,0.06786233643367452,GBM,Genotype: primary tumor,0
216,GSM207948,0.4605196308703467,AdaBoost,Genotype: primary tumor,0
217,GSM207948,0.43159667361387494,LR,Genotype: primary tumor,0
218,GSM207948,0.22964566946029663,DNN,Genotype: primary tumor,0
219,GSM207948,0.16801343101343097,RandomForest,Genotype: primary tumor,0
220,GSM207949,0.053419459611177444,XGB,Genotype: primary tumor,0
221,GSM207949,0.05,RandomForest,Genotype: primary tumor,0
222,GSM207949,0.06468816284336561,SVM,Genotype: primary tumor,0
223,GSM207949,0.04767364027376727,GBM,Genotype: primary tumor,0
224,GSM207949,0.009255984547001963,NaiveBayes,Genotype: primary tumor,0
225,GSM207949,0.24251483792858328,MLNN,Genotype: primary tumor,0
226,GSM207949,0.04694830193390701,LR,Genotype: primary tumor,0
227,GSM207949,0.24553226275649548,RVM,Genotype: primary tumor,0
228,GSM207949,0.30677327660160525,ExtraTrees,Genotype: primary tumor,0
229,GSM207949,0.17840076982975006,DNN,Genotype: primary tumor,0
230,GSM207949,0.44565465462578,AdaBoost,Genotype: primary tumor,0
231,GSM207950,0.024761904761904763,RandomForest,Genotype: primary tumor,0
232,GSM207950,0.2289041231464884,RVM,Genotype: primary tumor,0
233,GSM207950,0.053419459611177444,XGB,Genotype: primary tumor,0
234,GSM207950,0.17783142626285553,DNN,Genotype: primary tumor,0
235,GSM207950,0.04767364027376727,GBM,Genotype: primary tumor,0
236,GSM207950,0.03690295273350505,LR,Genotype: primary tumor,0
237,GSM207950,0.24246251959738255,MLNN,Genotype: primary tumor,0
238,GSM207950,0.05456646051622632,SVM,Genotype: primary tumor,0
239,GSM207950,0.006160050972388579,NaiveBayes,Genotype: primary tumor,0
240,GSM207950,0.44565465462578,AdaBoost,Genotype: primary tumor,0
241,GSM207950,0.3039161337444624,ExtraTrees,Genotype: primary tumor,0
242,GSM207951,0.05129232203487964,LR,Genotype: primary tumor,0
243,GSM207951,0.46047508425991346,AdaBoost,Genotype: primary tumor,0
244,GSM207951,0.11187490820884705,XGB,Genotype: primary tumor,0
245,GSM207951,0.30677327660160525,ExtraTrees,Genotype: primary tumor,0
